Level,Category / Area,Field / Filter,Use / Notes
Core,Store-wide,Brand,Primary filter; also drives Shop by Brand
Core,Store-wide,Part Type,Primary discovery field
Core,Store-wide,Guitar Type,Supports Shop by Guitar
Core,Store-wide,Finish / Colour,Useful broad filter
Core,Store-wide,Price,Native Wix filtering where practical
Core,Store-wide,Compatibility,"Critical discovery field; should ultimately support fit relationships, not only free text"
Category-specific,Machine Heads / Tuners,Layout,"e.g. 6-inline, 3x3"
Category-specific,Machine Heads / Tuners,Locking / Non-Locking,
Category-specific,Machine Heads / Tuners,Button Style,
Category-specific,Machine Heads / Tuners,Mounting Style,
Category-specific,Bridges / Tailpieces,Bridge Style,"e.g. Vintage Tremolo, Hardtail, Roller"
Category-specific,Bridges / Tailpieces,String Spacing,Use where it affects fit
Category-specific,Bridges / Tailpieces,Mounting Style,Use where it affects fit
Category-specific,Pickguards,Pickup Configuration,"SSS, HSS, HSH, HH, SS etc."
Category-specific,Pickguards,Mounting Holes,
Category-specific,Pickguards,Ply,
Category-specific,Pickguards,Orientation,
Category-specific,Nuts,Width,
Category-specific,Nuts,Radius,
Category-specific,Nuts,Material,
Category-specific,Nuts,String Count,
Category-specific,Floyd Rose Systems,Series,
Category-specific,Floyd Rose Systems,Nut Size,
Category-specific,Floyd Rose Systems,Block Size,
Category-specific,Floyd Rose Systems,String Count,Includes 7-string Gotoh GE1996T requirement
Category-specific,Tools & Luthier Supplies,Tool Type,Keep filters light
Specification,Technical Specifications,Dimensions / thread / exact post spacing / file size etc.,Keep as specs unless genuinely needed to determine fit
Wix Stores,Product commerce,SKU / Price / Stock / Variants / Checkout / Orders,Remain in Wix Stores; do not duplicate in CMS
Wix Stores,Variants,Tremolo-only or Tremolo + locking nut choices,Variant/bundle handling stays in Wix Stores
